shipment_id,goods_shipped,hs_code_6_digit,predicted_hs_code,rerank_score,distance,match_rank,top_hs_codes,expected_in_index,is_semantic_outlier,semantic_outlier_reason
cbfe3c5d22065b7d0d40622c1234deb2ae25600f62b663adbb9a253ed35ffbae,"Dried leguminous vegetables, shelled, whether or not skinned or split - Lentils",713400,071340,,0.25941205,,"[""071340"", ""071390"", ""071310"", ""070890"", ""071339""]",False,True,expected_not_in_index
9543891248393e606343867f36e6bc63550b36c31009534b46141ca5729ef6dd,"Dried leguminous vegetables, shelled, whether or not skinned or split - Lentils",713400,071340,,0.25941205,,"[""071340"", ""071390"", ""071310"", ""070890"", ""071339""]",False,True,expected_not_in_index
146e7e7adcce2342ee5de6661a8d03eae917554126565dde61ccb4636935cef2,"Dried leguminous vegetables, shelled, whether or not skinned or split - Lentils",713400,071340,,0.25941205,,"[""071340"", ""071390"", ""071310"", ""070890"", ""071339""]",False,True,expected_not_in_index
a5b8d870282318ead026688548cdfac1f3dbb4205f1c56482ac701fc47f5e19f,"Dried leguminous vegetables, shelled, whether or not skinned or split - Lentils",713400,071340,,0.25941205,,"[""071340"", ""071390"", ""071310"", ""070890"", ""071339""]",False,True,expected_not_in_index
4f1d2c810609a0fcfa3c6107075b11a47e25be0c3bf47a2480917c69b9880e26,"Dried leguminous vegetables, shelled, whether or not skinned or split - Lentils",713400,071340,,0.25941205,,"[""071340"", ""071390"", ""071310"", ""070890"", ""071339""]",False,True,expected_not_in_index
a24627656e16fa97009d38d732314238a88bef1414b126eaab539a4df61a46ed,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
e3d4db1631d0f5bf5ab1de4fb16bf2292a9831db92ce3db6a39bbcdc67157ced,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
5ef4635ac59787c24f1f0330c7f0d41497eacda355677849dba71b4a1bf963f4,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
41c58a8310f24a585747c5cc372861c464790d680f726cfdac23509c6ae18de0,"Dried leguminous vegetables, shelled, whether or not skinned or split - Lentils",713400,071340,,0.25941205,,"[""071340"", ""071390"", ""071310"", ""070890"", ""071339""]",False,True,expected_not_in_index
1d0acb994262f48a62a685346a3d0eec80ad2fa473e4a1162b605ec16413b39b,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
0962f51bc9c64cc3f4d338ed525b59c20e481b5fb600dd4c31c9230b62d24a5f,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
6afe1cfc2c95c0e9bea78ae01c17c1ddacfcb4a06465de96f095bd8809c80630,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
3923d52f9d69c696399f81b361d2deba385e921277cc719db3923f7bdb492c6b,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
924d909bcb0dd891a5643496ae62859cb80ea534d1d89a3ef4586f0bae41da61,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
9fd8805c01f329c3e41a0202f7988c73837893a92b4698b810f3671e250c3db7,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
f1556f5f999cb71b69ac3e6a7e4a28477afa81d15c567e6beabe2cb690515c1f,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
3c5141519cdb5fdd4c711bb2a461528fd357f82d2f899cccdbed5335de2e8260,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
b628743c2272848d77f7b53d067368a13028360212244e57953f16e08f9f0b1b,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
5b537f9b0afb9ceceefef013404f32ab94e55ad8e4f83476820b5060330b4c9d,"Dried leguminous vegetables, shelled, whether or not skinned or split - Lentils",713400,071340,,0.25941205,,"[""071340"", ""071390"", ""071310"", ""070890"", ""071339""]",False,True,expected_not_in_index
d6cd1bff06b0a8254b375f2aab8710a688670acbc932ee18af5f1cc47fbea4b0,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
ad1a0cec398a94d07a1917d9f7741ee420c57f22c8b76025813751e0cf9173d5,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
9a1e8be42d0c687ada4091dfe33b2be57db24242a2c3533df80d51f104b86e79,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
b316f554ac5c9023bfe38f1f701109ac955e2ecddb18693e40e3f3f377f9e792,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
8687f06f875166f7429425eb10281de9ad999e2fa88a138b06f7c62ba65f7616,"Dried leguminous vegetables, shelled, whether or not skinned or split - Lentils",713400,071340,,0.25941205,,"[""071340"", ""071390"", ""071310"", ""070890"", ""071339""]",False,True,expected_not_in_index
c28e828f10e19df0c0592d2923166cd6f969530cf2ab048cb33b5d3f7e66a2f3,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
b6c854d4efe582ff7357a9dc27b40ad419de20fa1c7072615dc1b0e407f70efb,"Leguminous vegetables, dried, in shells, whether or not skinned or broken - Lentils",713400,071340,,0.27429044,,"[""071340"", ""071390"", ""070890"", ""071029"", ""071339""]",False,True,expected_not_in_index
